text,true_label,pred_label
après une mauvaise expérience en passant par les services de santiane j'ai décidé de refaire confiance à un comparateur en ligne et je suis tombée sur un cabinet lyonnais et j'ai été tres satisfaite par la qualité du conseil et des offres aujourd'hui je suis adhérente chez cegema et tt ce passe bien,5,4
bonjour je me bat aujourd hui depuis 2 mois et demis pour recuperer mon capital de 4000 euros apres un courrier pour le rachat total je devais sois disant le toucher au bout de 3 semaines et quand j appelle tous les interlocuteurs me répondent ben on sait pas pourquoi je n ai plus aucun retour car je suis passee par le responsable etc je n ai pas pu acheter de cadeaux pour mes enfants et je dois quitter mon appartement pour non payement de mes loyer depuis 3 mois suite à la vente de mon restaurant n ayant plus aucune ressources à cause d'eux de mon argent qu on ne veut pas me rendre c est inadmissible je hais cette assurance mensongère on nous mène en bateau tout le temps et on joue avec notre argent en laissant bien les gens dans la panade j ai honte pour eux et la cerise sur le gateau je recois un texto pour une bonne année,3,1
je veux attirer l'attention des clients gmf après des années des décennies avec un bonus de 50 j'ai eu coup sur coup deux accidents matériels responsabilité totale la gmf m'annonce que mon bonus passe à 5 à 0 62 c'est normal puis peu avant l'échéance suivante la gmf m'annonce recommandé avec a r que mon contrat est résilié alors attention même avec des années à 50 la gmf résilie ses contrats après 2 accidents dommage car j'étais très satisfait de la gmf jusqu'à présent j'allais écrire ce coup pendable dommage que les clients ne soient pas prévenus j'aurais pu changer d'assureur avant ça m'aurait coûté moins cher ils le seront maintenant j'espère,3,2
contrat signé avec une femme de 102 ans en signatures illisibles sans document avant contrat qui prouve l'intention d'engagement de cette femme sourde et aveugle 1 an avant son décès sur assurance à un prix hors normes,1,2
on n'est jamais satisfait des pris on aimerai qu'ils soient encore plus bas mais le service est très bien l'accueil agréable site internet facile d'utilisation,3,4
délai supérieur à 3 semaines 10 à 15 jours annoncés,1,2
j'ai malheureusement eu à faire appel à plusieurs reprises à pacifica pour pannes et j'ai toujours été très satisfaite de leurs service tenue au courant des délais d'attente avec suivi vérification pour éventuel dépannage conduite de mon véhicule chez le réparateur de mon choix,5,4
je suis chez axa valenciennes agence sulli depuis plus de 10 ans et même si j'habite maintenant à nantes je suis restée chez eux toutes mes assurances y sont regroupées je suis plus que satisfaite de leur écoute et de leur compréhension il ne s'agit pas seulement du montant de la cotisation qui compte quand on choisit une assurance c'est également le côte humain des interlocuteurs j'ai rencontré divers soucis que cette agence a su régler sereinement et rapidement l'accueil a toujours très polie et très gentil je recommande vivement cette agence,5,4
indemnités prévoyance versées très tardivement voire au début du mois suivant pour le maintien de salaire les appels téléphoniques ne servent à rien le personnel est peu professionnel et peu à l'écoute pas génial du tout,1,2
je suis satisfait merci l'olivier niveau inscription ça été simple tout est nickel je suis ravi d'être assuré avec l'olivier assurance encore merci franchement,5,4
