text,true_label,pred_label
je suis une retraitée de st gobain pam je suis donc restée à cette assurance depuis 2007 qui était celle de mon entreprise rien à signaler jusqu'à présent mais depuis le 10 juin j'attends un remboursement de 65 pour un verre de lunette pour mon mari qui s'est fait opérer de la cataracte et qui me met pas de verre progressif donc 2 paires de lunettes une vision de près et une vision de loin sans changer les montures tout en étant passé par le réseau kalivia j'ai déjà relancé 4 fois et toujours rien alors que pour les miens qui sont progressisf et dont le montant s'élève à 700 je n'ai fait aucune avance de frais chercher l'erreur,neutral,negative
aucun problème avec cette assurance mais peu de renseignements sur certains produit ou si seulement ils existent,neutral,positive
énorme différence entre le prix mensuel et le prix annuel et les frais de dossier sont trop importants surtout pour une assurance en ligne de plus les comparateurs d'assurances annoncent des prix plus bas mais sans pouvoir moduler les options on se retrouve donc à devoir passer directement par votre site avec des prix plus élevés,neutral,positive
pas recommendable comme assirrance vraiment pas à la hauteur allez chez les concurrents au moins vous serez écoutés un minimum,neutral,negative
hormis l'augmentation de mon contrat auto de 36 54 qui m'a surpris ce mois ci bien que j'ai eu 1 sinistre mineur matériel responsable fin juin précédé d'1 contre 1 cerf en 09 20 mais reçu par mon conseiller il m'a dit qu'elle était ponctuelle et sans doute dû à une modif des conditions générales et que ça retournerais à la normale en octobre prochain mais sans doute que j'aurais une augmentation en mars lors de l'échéance annuelle à voir même si mon bonus 0 50 a été maintenu ceci dit cela mis à part je suis très satisfait de leur accueil et traitement et règlement des dossiers sinistre et il faut reconnaître qu'ils sont de loin les mieux placés au niveau tarif et niveau des prestations,positive,negative
j'attends de voir avec le temps j'ai eu du mal à me connecter hier car le sms ne m'envoyait pas une bonne adresse donc je n'ai pas réussi à valider le dossier hier,positive,negative
client depuis 20 ans je suis très satisfait sauf de la cotisation qui ne prends pas en compte de la fidélité du consommateur,positive,negative
bonjour aprés un coup de fil a l'agence de pau pour renseignement arret de travail il y a bien un contrat prevoyance au nom de mon employeur 2004 mais voila mon nom n'est pas affilié a celle çi surtout que je cotise depuis mon entrée en 2003 pourrais-je avoir par votre biais une confirmation de cette situation et comment la débloquer pour poursuivre ma demande j'avais déja envoyer une demande de mon contrat a mon employeur sans réponse merçi d'avance de votre réponse,neutral,negative
c'est très bien passé mais il me manque un papier de mon ancien assureur je veux voir avec eux et je l'envoie par email avec ma nouvelle carte grise,positive,negative
bonjour les prix me conviennent cela devrait être simple et pratique j'espère que ce sera aussi simple en cas de sinistre merci de me recevoir parmi vous cordialement,neutral,positive
je suis satisfait du contrat mais je pensais pouvoir bénéficier du bonus à vie au vu du temps de contrat et du bonus mais apparemment cette option n'existe plus,neutral,negative
je suis satisfait mais je ne comprend pas j'ai déja payé deux mois d'avance pour ma precedente voiture que jai gardé jours avant quelle ne brule et je repaie deux mois d'avance pour la nouvelle,positive,negative
bonjour je viens de contacter le service client et j'ai été bien reçue par gwendall qui a été fort attentif,neutral,negative
très bien les commerciaux très professionnels une bonne écoute je recommande l'olivier assurance à mon entourage les prix attractifs pour des garanties optionnelles,neutral,positive
j'ai changé en 2019 par obligation de la bnp c'était la condition pour bénéficier d'un taux de prêt intéressant sinon je serai resté dans votre compagnie d'assurance,positive,negative
lorsque vous avez du bonus en deux roues les prix sont moins intéressant et c'est compliqué de résilié,negative,positive
adhérent depuis plus de 15 ans je n'ai rien à redire concernant ma mutuelle en entendant d'autres collègues parler de leurs problèmes je me sens plutôt pas mal lôti,positive,negative
que ce soit auto ou mutuelle restez loin de cette assurance beaucoup de mauvaise foi courrier soit disant pas reçu malgré la réponse de l assureur vous n avez pas droit mais en levant la voie vous avez droit par exemple je ne peux pas vous faire un mail la personne qui s occupe des mails n est pas la je déconseille fortement je tiens a disposition enregistrements et courriers contradictoires a toutes associations tels que que choisir ou 50 millions de conso,neutral,negative
je suis satisfait du service de souscription de contrat les signatures électroniques sont un vrai plus continuez comme ça la gestion du remplacement de l'ancien véhicule par le nouveau s'est bien passé et de manière très rapide,neutral,positive
alison à bien répondu à toute mes question et à fait le nécessaire de suite pour mes remboursement un grand merci à elle,positive,negative
bonjour selon un sois disant bug informatique vous me demandiez de payer 131 et quelques le problème a été réglé mais je ne comprend pas bien ce bug,neutral,negative
client depuis 2017 et la facture ne fait que augmenter depuis pas d'avantage de fidélisation j'ai eu que 1 sinistre relatif a mon para bris depuis 2017 pas d'accident ou d'autre situation embêtant,neutral,negative
l'assurance la moins cher que j'ai trouvé la prestation a l'air plutôt bonne site internet facile à utiliser et complet le service d'appel est bien aussi,neutral,positive
partez en courant le prix est attractif mais dès que vous avez souscris c'est l'horreur chercher du prix c'est bien mais pas au détriment de la qualité du coup je préfère payer un peu plus chère mais avoir des gens compétents qui n'essaye pas de vous avoir j'aurai du regarder les avis avant de souscrire car quand j'ai lu les commentaires je n'étais pas étonné,negative,positive
pour l'instant je démarre chez vous en tout cas le jeune homme était très aimable et attentionné et grâce à lui j'ai souscrit immédiatement mon contrat,neutral,positive
je suis satisfait de la prestation la communication est correcte le prix est un peu élevé et mes année de conduite à l'étranger n'ont pas été valorisés,neutral,positive
a la retraite depuis 20 ans je n'ai jamais eu de différent avec la mgp apres analyse complète je pense que nous sommes très très loin d'être les plus mauvais nous gardons cet esprit mutualiste et de solidarité qui en cette période difficile est important merci de m'avoir lu,positive,negative
explications claires,neutral,positive
satisfait service rapide et efficace je recommande totalement les services et prestations qui sont proposées ainsi que des tarifs qui sont très convenables,neutral,positive
tout simplement trop chère le double du prix proposé par direct assurance,neutral,positive
je trouve que il son super aderran de pus peut par ses garanti,neutral,positive
adhérent depuis plus de 30 ans je suis satisfait des prestations de cette mutuelle et des remboursements récemment il m'a été donné de contacter la mutuelle par téléphone il m'a été proposé d'être rappelé car le temps d'attente était trop long j'ai été rappelé dans les 10 minutes par une conseillère très pro qui a répondu à mes attentes,neutral,positive
globalement très satisfait de la couverture-santé cependant un effort pourra être apporté dans le traitement de la mise à jour des données personnelles en cas de modification de ces dernières,neutral,positive
les remboursements sont très rapides et envoyés par mail ce qui est plus pratique que d'aller sur son compte client dont on a toujours perdu les codes très bon contact avec mélanie pour des changements de niveau de garantie,neutral,positive
la maaf est une assurance qui se moque de ses clients et qui n'hésite pas à résilier les contrats nous etions clients depuis plusieurs années nous nous sommes fait cambrioler en octobre l'expert nous a chercher des poux nous avons perdu beaucoup et avons été très peu indemnisé parce que déjà 20 en moins car pas de fenêtres blindées au garage les voleurs ne sont pas passés par la fenêtre ensuite nous avons reçu une lettre recommandée qui nous informait que pour le bien de l'entreprise nous ne ferons plus partis des sociétaires nous avons eu 1 mois pour retrouver une assurance je ne conseillé plus cette assurance qui ne veut que des profits très mauvaise assurance quand il y a un sinistre,neutral,negative
personnellement je suis tres satisfaite le personnel est tres aimable aucun probleme,neutral,positive
je suis satisfais du services bon rapport qualité prix accessibles a toutes les bourse je recommence fortement direct assurances rapide éfficace sans prendre de rdv,neutral,positive
je suis satisfait du service j'ai reçu les documents rapidement que ce soit le boitier ou la carte verte concernant le prix il et résonnable je n'est pas encore pue tester you drive pour les reduction,neutral,positive
en espérant faire affaire ensemble si les conditions sont bonnes par rapport à la concurrence en attente de comparer les devis avec les prestations de la concurrence,negative,positive
je recommande sans hésiter j'ai fait souscrire mon père à cet assurance santé qui a couvert tous ses frais médicaux jusqu'à son décès quand je leur ai demander des infos pour la résiliation le jour du décès ils ont été tout à fait humain et tout s'est très bien passé c'était fin 2017 mais je tenais à partager cette expérience positive je n'ai jamais eu affaire à un assureur aussi professionnel,positive,negative
je reçois mon avis d'échéance 2021 avec une augmentation des cotisations de 17 50 cotisations de base 514 33 en 2020 et 604 33 en 2021 pour ma moto bmw 1200 avec 50 de bonus et que je nai pas eu d'accident a tort depuis plusieurs années et comme tout le monde avec la covid je roule peu depuis 1 an je suis très tres en colère j'ai appelé le service des reclamations et il m'a été repondu que cette augmentation était justifiée compte tenu de l'inflation et l'évolution des sinistres graves je vais étudier les autres compagnies pour partir très vite de là très déçu,neutral,negative
la premier année rien à dire deuxième année augmentation troixième augmentation encore et quatrième idem j'ai fuis la logique voudrait qu'il pratique des prix attractive pour garde leur client je pense qu'il prefère avoir des nouveaux clients que de garde les anciens,neutral,negative
bonjour rapport qualité prix correct je regrette 3 choses 1 nous n'avons plus de courrier annuel nous indiquant les taris de l'année a-1 il faut aller sur le site et ce n'est pas toujours clair nous voyons mal les écarts de tarif 2 matmut cumule les montants de cotisation assurances autos habitation je préférerai un prélèvement auto et un autre habitation car on ne sait plus ce que l'on paie 3 nous ne pouvons pas communiquer par mail ce qui est pourtant pratique il faut toujours passer par le site ce qui est bcp plus long cordialement vincent gadenne 0622190244,neutral,positive
le prix est un peu cher pour une voiture comme ca sinon le site est rapide je suis déjà une assurance habitation parcontre je n ai pas bien compris le concept du boitier conecte,neutral,positive
je suis satisfaite du prix et le service client et plus que satisfaisant une équipe à l écoute et traitement de la demande rapide et satisfaisante je recommande,neutral,positive
j'ai contacté votre service sur une demande de remboursement re frais d'osteopathie j'ai été bien accueillie et la personne a répondu à mes demandes,neutral,negative
je suis très satisfait du service les conseillers sont à l'écoute de nos demandes et font en sorte de trouver des solutions si problèmes il y a je recommanderais énergiquement votre assurance,neutral,positive
rien n'est fait au niveau tarif pour les clients qui ont beaucoup de contrats comme nous nous avons 4 contrats véhicules habitation famille loisir un petit geste commercial serait là bien venu,neutral,negative
content que ma fidélité me donne des prix avantages j'en attendais pas moins je salue ces méthodes dans un climat où les assurances cherchent plus à obtenir de nouveaux client au lieu d'essayer de les garder bravo,positive,negative
ce qui serai bien de pouvoir éditè carte verte dans sont compte perso dans a partir web,positive,negative
votre collaborateur ce matin a raccroché estimant que je n'écoute pas ce qu'ils me disait ma demande était une attestation civile vie privée et une attestation individuelle accidents corporels pour ma fille edwige impossible de parler un collaborateur excessivement volubile qui ne cessait de répéter en boucle que je l'empêchait de faire son travail estimant que dans le doute où je ne continue pas mes contrats en 2022 il ne pouvait me faire ces attestations,neutral,negative
le prix est intéressant mais la franchise reste un peu élevée la souscription est simple et rapide je recommande votre assurance auprès de mes collègues motards,neutral,positive
soucis de la validation de mon premier paiement en ligne bug finalement la souscription a duré plus longtemps que prévu par téléphone 1er accueil tél moyen bien meilleur avec la seconde personne qui a finalisé avec moi le contrat merci,neutral,positive
je suis satisfait du service je n ai pas encore eu recours a la police auto apart pour du bris de glace mais jusqu'ici tout va bien le service par téléphone est très bien l application je ne l'ai toujours pas trouvé,neutral,positive
très bonne conseillère sympathique et professionnelle elle a su résoudre toutes mes doutes problèmes très satisfait du service client,neutral,positive
imposer la signature d'un mandat de prélèvement alors qu'on paye par cb est un abus cela relève d'une collecte d'information dont vous n'avez pas à avoir connaissance le mandat sera révoqué dès son enregistrement par la banque,neutral,negative
je ne suis pas satisfaites de garanties proposées dans mon contrats il ne couvre pas l'ensemble des risques auxquels est soumis mon habitation aucunes solutions n'a été proposées pas vos services,negative,positive
et pourtant il me faut juste une attestation de responsabilité civile mais c'est un vrai parcourt du combattant je passe par mon agence a levallois perret mais impossible de les avoir au téléphone donc je passe par le service clientele axa mais on peut rien faire pour vous car faut passer par les bureaux de nanterre ou la defense je ne sais plus bref on les contacte par mail et par courrier pour etre sure d'avoir notre fameuse attestation mais non rien a faire ca fait plus de 1 mois que on a pas de réponse alors la que faire j'avoue être un peu perdu merci axa,neutral,negative
la prise d'assurance est simple pratique et rapide pas beaucoup de différence sur les tarifs pratiqués rien a dire de plus cordialement bruno cruanes,neutral,positive
je suis satisfaite su service les prix me conviennent j'espère que la suite sera simple pour le renvoi des documents et que tout cela sera rapide,negative,positive
après 15 ans de paiement de cotisation d'assurance de prêt nous nous apercevons qu'april nous a prélevé à tort des cotisations suite à une erreur administrative april a continué de prélever des cotisations d'un premier prêt immobilier qui avait été renégocié et soldé nous avons signalé cette erreur au service réclamation d'avril en novembre 2020 en décembre 2020 april a régularisé la situation en nous remboursant les 5 ans auxquels la loi l'y oblige en plus de cela april a fait preuve de professionnalisme puisqu'en janvier 2021 il nous a remboursé le trop-perçu des cotisations sur la période 2005 à 2015 alors qu'il aurait pu se réfugier derrière le code des assurance et la justice c'est pourquoi je remercie april pour son écoute et son service de qualité a cette occasion je remercie en particulier elsa j pour sa réactivité et son professionnalisme a l'avenir si je devais à nouveau contracter un prêt immobilier je n'hésiterai pas à faire appel à leur service et aussi à les recommander,positive,negative
juste un peu déçu d'avoir a payer les frais de dossier alors que sur le site partenaire il était indiqué offert sinon pour le reste j'attends de voir,neutral,negative
une façon permanente de prendre les clients pour des c ne pas faire confiance à ces filous ex tu veux payer ta cotisation en ligne ils te tendent un piège pour souscrire au prelevement direct sur ton compte l'option cb est cachée tu as un parrainage ils te le refusent ou une fois souscrit vous le suppriment assurance au km tu leur donnes le relevé il se trompent en leur faveur avec ce mauvais esprit les contacts ressemblent à une duperie permanente,neutral,negative
reactivite positive les prix sont négociés régulièrement,neutral,positive
l'évolution du contrat me semble ne pas correspondent à la situation il y a un trop gros écart entre le devis et la facture finale merci de faire correspondent vos tarifications avec les devis,neutral,negative
ce qui m'a attiré chez direct assurance au départ c'était surtout le prix je m'attendais bien qu'en cas de sinistre ça va être un parcours de combattant pour les indemnités en effet suite à mon sinistre cambriolage j'étais surpris de la qualité de prise en charge très rapide c'est eux qui m'appellent pour faire suivre mon dossier finalement j'étais remboursé à 50 que je trouve pas aussi mal vu l'erreur que j'ai faite j'ai laissé la porte ouverte,positive,negative
je suis satisfait mais j'étais déjà assuré chez vous donc ça pouvait plus simple pour une2e soustraction a votre assurance e semplifie les case e perdre - de temps merci,neutral,positive
je suis surpris car de base le montant etait moins élever j'espère avoir une réduction si bon conducteur surtout que la voiture à le même âge que moi,neutral,positive
bien merci bien servie bonne journer bon rapport qualité prix pris en charge vite bon rapport qualité prix et sa va vite et rapide et bon rapport qualité prix,neutral,positive
bonjour a tous je suis outré lorsque je lis les commentaires negatifs de direct assurance une des plainte recurrente est augmentations des tarifs au fil des années meme sans sinistre et alors c'est le jeu ma pov' lucette faut il vous prendre par la main pour vous dire surveillez vos echeanciers les assurances sont reconduites d'années en années par tacite - reconduction la concurrence existe au lieu de vous plaindre specialité française comparez vous avez le droit meme le devoir de changer d'assurance regulierement minimum tous les ans habitation voitures et meme santé alors certes cela demande un effort fournir des documents permis c g relevé d'informations sur 24 mois voire36 mois et un rib alors dimanche prochain au lieu d'aller jouer au golf ou bien d'aller au vernissage d'un illustre inconnu rendez -vous sur les sites types assurland les furets meilleursassurance le lynx etc etc etc dernier petit conseil faites la meme chose avec vos fournisseurs d'energie gaz et electricité vous verrez vous ne serez pas deçu j'en ai fais les frais cette semaine,positive,negative
pire mutuelle que j' ai connu chipote pour la prise en charge erreur de remboursement j' attends avec impatience ma date de résiliation,neutral,negative
je suis consternée de cette compagnie qui m'a collée un sinistre sans même chercher à s'assurer de la veracite de ce sinistre je m en suis rendue compte lorsqu'ils ont décidé de résilier mon contrat,neutral,negative
je suis satisfait des prix mais une ristourne par téléphone de 80 euros vu que j'ai 3 contrats chez vous en geste commercial devaient être faits et là personne n'a de trace par téléphone et donc ben je n'aurai pas ces 80 euros actés par un supérieur au téléphone je trouve que cela ne fait pas sérieux,neutral,negative
j'avais deux contrats auto chez eux mais j'ai résilié un contrat avec regret j'ai déclaré sur un autre contrat un sinistre pour dépannage et j'ai été dépanné en moins de 30 minutes,positive,negative
satisfait du service et tarif correct mais je trouve très dommage de ne pas pouvoir assurer immédiatement en touts risques une voiture en plaques provisoires,neutral,positive
très content du service client ont même réussi a m'obtenir une petite remise grâce a la preuve d'avoir été assuré a l'étranger,positive,negative
je viens de résilier mon contrat au 31 08 pourquoi les 2 premières années depuis 2017 j'obtenais facilement et rapidement une réponse à mes questions mais plus ces 2 dernières de fait mon contrat n'étant pas responsable je me trouvais écarté des nouvelles dispositions de reste à charge 0 april a un fonctionnement très solide prise en charge remboursements mais pêche par manque de suivi de l'assuré comme beaucoup de mutuelles qui délèguent aux réseaux de courtiers la prospection commerciale leurs clients ne sont pas suivis les assurances gonflent leur portefeuille et les revendent à des plus grosses la résiliation déclenchée par ma nouvelle mutuelle se passe très bien merci april,neutral,negative
j'ai été un peu déstabilisé par votre site qui proposait des tarifs différents pour les mêmes garanties il est vrai que j'étais en sur 2 fenêtres différentes vous sera-t-il possible de me rappeler car j'ai d'autres véhicules assurés et peut-être qu'en regroupant les contrats je pourrai économiser quelques dizaines voire centaines d'euros merci cordialement bruno plantade,neutral,negative
je suis très satisfaite vous êtes rapide et efficace et toujours a l'écoute de vos clients et très réactif au téléphone je vous recommande sans problème,neutral,positive
je suis satisfait de l'option youdrive qui me permet de soulager la note un peu salée en conduisant prudemment enfin les jeunes conducteurs ont la confiance d'une assurance,neutral,positive
satisfait de la présentation de l'estimation de l'assurance l'application est bien constituée je réfléchis pour voir d'autres propositions merci,neutral,positive
nous avons toujours été très satisfaits par la gmf nous avons subit un vol de scooter et trois accidents non-responsables et tout s'est toujours très bien passé,positive,negative
je suis satisfait du service mais je trouve que sais quand même un peu cher un petit effort de votre part au niveau tarif changerait complètement la donne,neutral,positive
